YearQuarter,Industry,Gender,Number of Full-Time Equivalent Employees
2004Q1,Information Media and Telecommunications,Both Sexes,26200
2004Q2,Information Media and Telecommunications,Both Sexes,26600
2004Q3,Information Media and Telecommunications,Both Sexes,26000
2004Q4,Information Media and Telecommunications,Both Sexes,26500
2005Q1,Information Media and Telecommunications,Both Sexes,27200
2005Q2,Information Media and Telecommunications,Both Sexes,26500
2005Q3,Information Media and Telecommunications,Both Sexes,28100
2005Q4,Information Media and Telecommunications,Both Sexes,28400
2006Q1,Information Media and Telecommunications,Both Sexes,29900
2006Q2,Information Media and Telecommunications,Both Sexes,30400
2006Q3,Information Media and Telecommunications,Both Sexes,29800
2006Q4,Information Media and Telecommunications,Both Sexes,30200
2007Q1,Information Media and Telecommunications,Both Sexes,30400
2007Q2,Information Media and Telecommunications,Both Sexes,30000
2007Q3,Information Media and Telecommunications,Both Sexes,30300
2007Q4,Information Media and Telecommunications,Both Sexes,30800
2008Q1,Information Media and Telecommunications,Both Sexes,32100
2008Q2,Information Media and Telecommunications,Both Sexes,32400
2008Q3,Information Media and Telecommunications,Both Sexes,31900
2008Q4,Information Media and Telecommunications,Both Sexes,32000
2009Q1,Information Media and Telecommunications,Both Sexes,32000
2009Q2,Information Media and Telecommunications,Both Sexes,31300
2009Q3,Information Media and Telecommunications,Both Sexes,29200
2009Q4,Information Media and Telecommunications,Both Sexes,29300
2010Q1,Information Media and Telecommunications,Both Sexes,29000
2010Q2,Information Media and Telecommunications,Both Sexes,29800
2010Q3,Information Media and Telecommunications,Both Sexes,30300
2010Q4,Information Media and Telecommunications,Both Sexes,29800
2011Q1,Information Media and Telecommunications,Both Sexes,29200
2011Q2,Information Media and Telecommunications,Both Sexes,29200
2011Q3,Information Media and Telecommunications,Both Sexes,29300
2011Q4,Information Media and Telecommunications,Both Sexes,28200
2012Q1,Information Media and Telecommunications,Both Sexes,27800
2012Q2,Information Media and Telecommunications,Both Sexes,29000
2012Q3,Information Media and Telecommunications,Both Sexes,28300
2012Q4,Information Media and Telecommunications,Both Sexes,27200
2013Q1,Information Media and Telecommunications,Both Sexes,27100
2013Q2,Information Media and Telecommunications,Both Sexes,26500
2013Q3,Information Media and Telecommunications,Both Sexes,27900
2013Q4,Information Media and Telecommunications,Both Sexes,27900
2014Q1,Information Media and Telecommunications,Both Sexes,29300
2014Q2,Information Media and Telecommunications,Both Sexes,28100
2014Q3,Information Media and Telecommunications,Both Sexes,27600
2014Q4,Information Media and Telecommunications,Both Sexes,29500
2015Q1,Information Media and Telecommunications,Both Sexes,27500
2015Q2,Information Media and Telecommunications,Both Sexes,26400
2015Q3,Information Media and Telecommunications,Both Sexes,26900
2015Q4,Information Media and Telecommunications,Both Sexes,27600
2016Q1,Information Media and Telecommunications,Both Sexes,29400
2016Q2,Information Media and Telecommunications,Both Sexes,29500
2016Q3,Information Media and Telecommunications,Both Sexes,26500
2016Q4,Information Media and Telecommunications,Both Sexes,26400
2017Q1,Information Media and Telecommunications,Both Sexes,26500
2017Q2,Information Media and Telecommunications,Both Sexes,27000
2017Q3,Information Media and Telecommunications,Both Sexes,26500
2017Q4,Information Media and Telecommunications,Both Sexes,27400
2018Q1,Information Media and Telecommunications,Both Sexes,28900
2018Q2,Information Media and Telecommunications,Both Sexes,28000
2018Q3,Information Media and Telecommunications,Both Sexes,27400
2018Q4,Information Media and Telecommunications,Both Sexes,27700
1989Q1,Financial and Insurance Services,Male,20000
1989Q2,Financial and Insurance Services,Male,18800
1989Q3,Financial and Insurance Services,Male,18700
1989Q4,Financial and Insurance Services,Male,18900
1990Q1,Financial and Insurance Services,Male,19000
1990Q2,Financial and Insurance Services,Male,18200
1990Q3,Financial and Insurance Services,Male,18600
1990Q4,Financial and Insurance Services,Male,18600
1991Q1,Financial and Insurance Services,Male,18200
1991Q2,Financial and Insurance Services,Male,17200
1991Q3,Financial and Insurance Services,Male,17300
1991Q4,Financial and Insurance Services,Male,17300
1992Q1,Financial and Insurance Services,Male,18200
1992Q2,Financial and Insurance Services,Male,17600
1992Q3,Financial and Insurance Services,Male,17200
1992Q4,Financial and Insurance Services,Male,16600
1993Q1,Financial and Insurance Services,Male,17000
1993Q2,Financial and Insurance Services,Male,16500
1993Q3,Financial and Insurance Services,Male,16600
1993Q4,Financial and Insurance Services,Male,16500
1994Q1,Financial and Insurance Services,Male,16800
1994Q2,Financial and Insurance Services,Male,17100
1994Q3,Financial and Insurance Services,Male,17200
1994Q4,Financial and Insurance Services,Male,17400
1995Q1,Financial and Insurance Services,Male,17500
1995Q2,Financial and Insurance Services,Male,17400
1995Q3,Financial and Insurance Services,Male,17900
1995Q4,Financial and Insurance Services,Male,18300
1996Q1,Financial and Insurance Services,Male,17800
1996Q2,Financial and Insurance Services,Male,18800
1996Q3,Financial and Insurance Services,Male,18400
1996Q4,Financial and Insurance Services,Male,17800
1997Q1,Financial and Insurance Services,Male,17100
1997Q2,Financial and Insurance Services,Male,17900
1997Q3,Financial and Insurance Services,Male,18700
1997Q4,Financial and Insurance Services,Male,17100
1998Q1,Financial and Insurance Services,Male,16900
1998Q2,Financial and Insurance Services,Male,16600
1998Q3,Financial and Insurance Services,Male,16400
1998Q4,Financial and Insurance Services,Male,15700
1999Q1,Financial and Insurance Services,Male,15500
1999Q2,Financial and Insurance Services,Male,15200
1999Q3,Financial and Insurance Services,Male,14900
1999Q4,Financial and Insurance Services,Male,14800
2000Q1,Financial and Insurance Services,Male,15300
2000Q2,Financial and Insurance Services,Male,15200
2000Q3,Financial and Insurance Services,Male,15500
2000Q4,Financial and Insurance Services,Male,15500
2001Q1,Financial and Insurance Services,Male,15300
2001Q2,Financial and Insurance Services,Male,15500
2001Q3,Financial and Insurance Services,Male,15300
2001Q4,Financial and Insurance Services,Male,15500
2002Q1,Financial and Insurance Services,Male,15000
2002Q2,Financial and Insurance Services,Male,15400
2002Q3,Financial and Insurance Services,Male,16000
2002Q4,Financial and Insurance Services,Male,16000
2003Q1,Financial and Insurance Services,Male,15700
2003Q2,Financial and Insurance Services,Male,15900
2003Q3,Financial and Insurance Services,Male,16200
2003Q4,Financial and Insurance Services,Male,15400
2004Q1,Financial and Insurance Services,Male,16200
2004Q2,Financial and Insurance Services,Male,17100
2004Q3,Financial and Insurance Services,Male,16600
2004Q4,Financial and Insurance Services,Male,16400
2005Q1,Financial and Insurance Services,Male,16400
2005Q2,Financial and Insurance Services,Male,16600
2005Q3,Financial and Insurance Services,Male,16400
2005Q4,Financial and Insurance Services,Male,16500
2006Q1,Financial and Insurance Services,Male,18400
2006Q2,Financial and Insurance Services,Male,18600
2006Q3,Financial and Insurance Services,Male,18200
2006Q4,Financial and Insurance Services,Male,18100
2007Q1,Financial and Insurance Services,Male,18000
2007Q2,Financial and Insurance Services,Male,17600
2007Q3,Financial and Insurance Services,Male,17200
2007Q4,Financial and Insurance Services,Male,18400
2008Q1,Financial and Insurance Services,Male,18000
2008Q2,Financial and Insurance Services,Male,17900
2008Q3,Financial and Insurance Services,Male,17700
2008Q4,Financial and Insurance Services,Male,17800
2009Q1,Financial and Insurance Services,Male,17700
2009Q2,Financial and Insurance Services,Male,16600
2009Q3,Financial and Insurance Services,Male,17400
2009Q4,Financial and Insurance Services,Male,16600
2010Q1,Financial and Insurance Services,Male,16800
2010Q2,Financial and Insurance Services,Male,17000
2010Q3,Financial and Insurance Services,Male,17700
2010Q4,Financial and Insurance Services,Male,17900
2011Q1,Financial and Insurance Services,Male,18300
2011Q2,Financial and Insurance Services,Male,18100
2011Q3,Financial and Insurance Services,Male,17700
2011Q4,Financial and Insurance Services,Male,18400
2012Q1,Financial and Insurance Services,Male,18000
2012Q2,Financial and Insurance Services,Male,18400
2012Q3,Financial and Insurance Services,Male,20100
2012Q4,Financial and Insurance Services,Male,19100
2013Q1,Financial and Insurance Services,Male,18300
2013Q2,Financial and Insurance Services,Male,19100
2013Q3,Financial and Insurance Services,Male,19200
2013Q4,Financial and Insurance Services,Male,20000
2014Q1,Financial and Insurance Services,Male,19900
2014Q2,Financial and Insurance Services,Male,20200
2014Q3,Financial and Insurance Services,Male,20500
2014Q4,Financial and Insurance Services,Male,21200
2015Q1,Financial and Insurance Services,Male,22300
2015Q2,Financial and Insurance Services,Male,22300
2015Q3,Financial and Insurance Services,Male,21900
2015Q4,Financial and Insurance Services,Male,22500
2016Q1,Financial and Insurance Services,Male,22300
2016Q2,Financial and Insurance Services,Male,22500
2016Q3,Financial and Insurance Services,Male,22800
2016Q4,Financial and Insurance Services,Male,23000
2017Q1,Financial and Insurance Services,Male,23300
2017Q2,Financial and Insurance Services,Male,22200
2017Q3,Financial and Insurance Services,Male,22000
2017Q4,Financial and Insurance Services,Male,21400
2018Q1,Financial and Insurance Services,Male,22500
2018Q2,Financial and Insurance Services,Male,22900
2018Q3,Financial and Insurance Services,Male,21900
2018Q4,Financial and Insurance Services,Male,21800
1989Q1,Financial and Insurance Services,Female,29700
1989Q2,Financial and Insurance Services,Female,28600
1989Q3,Financial and Insurance Services,Female,28400
1989Q4,Financial and Insurance Services,Female,28200
1990Q1,Financial and Insurance Services,Female,29100
1990Q2,Financial and Insurance Services,Female,27400
1990Q3,Financial and Insurance Services,Female,28000
1990Q4,Financial and Insurance Services,Female,28100
1991Q1,Financial and Insurance Services,Female,28500
1991Q2,Financial and Insurance Services,Female,27200
1991Q3,Financial and Insurance Services,Female,27100
1991Q4,Financial and Insurance Services,Female,26700
1992Q1,Financial and Insurance Services,Female,27700
1992Q2,Financial and Insurance Services,Female,27100
1992Q3,Financial and Insurance Services,Female,26600
1992Q4,Financial and Insurance Services,Female,25300
1993Q1,Financial and Insurance Services,Female,25700
1993Q2,Financial and Insurance Services,Female,25400
1993Q3,Financial and Insurance Services,Female,25100
1993Q4,Financial and Insurance Services,Female,24400
1994Q1,Financial and Insurance Services,Female,24700
1994Q2,Financial and Insurance Services,Female,24200
1994Q3,Financial and Insurance Services,Female,24400
1994Q4,Financial and Insurance Services,Female,24900
1995Q1,Financial and Insurance Services,Female,25400
1995Q2,Financial and Insurance Services,Female,25100
1995Q3,Financial and Insurance Services,Female,26300
1995Q4,Financial and Insurance Services,Female,26100
1996Q1,Financial and Insurance Services,Female,26100
1996Q2,Financial and Insurance Services,Female,27100
1996Q3,Financial and Insurance Services,Female,27000
1996Q4,Financial and Insurance Services,Female,26200
1997Q1,Financial and Insurance Services,Female,25500
1997Q2,Financial and Insurance Services,Female,25800
1997Q3,Financial and Insurance Services,Female,26800
1997Q4,Financial and Insurance Services,Female,26100
1998Q1,Financial and Insurance Services,Female,26000
1998Q2,Financial and Insurance Services,Female,24900
1998Q3,Financial and Insurance Services,Female,24200
1998Q4,Financial and Insurance Services,Female,23500
1999Q1,Financial and Insurance Services,Female,23400
1999Q2,Financial and Insurance Services,Female,23000
1999Q3,Financial and Insurance Services,Female,22700
1999Q4,Financial and Insurance Services,Female,22900
2000Q1,Financial and Insurance Services,Female,24400
2000Q2,Financial and Insurance Services,Female,24200
2000Q3,Financial and Insurance Services,Female,24100
2000Q4,Financial and Insurance Services,Female,24000
2001Q1,Financial and Insurance Services,Female,23600
2001Q2,Financial and Insurance Services,Female,24100
2001Q3,Financial and Insurance Services,Female,24200
2001Q4,Financial and Insurance Services,Female,24500
2002Q1,Financial and Insurance Services,Female,24000
2002Q2,Financial and Insurance Services,Female,24200
2002Q3,Financial and Insurance Services,Female,24800
2002Q4,Financial and Insurance Services,Female,24400
2003Q1,Financial and Insurance Services,Female,24700
2003Q2,Financial and Insurance Services,Female,25500
2003Q3,Financial and Insurance Services,Female,25800
2003Q4,Financial and Insurance Services,Female,24800
2004Q1,Financial and Insurance Services,Female,25600
2004Q2,Financial and Insurance Services,Female,26400
2004Q3,Financial and Insurance Services,Female,25600
2004Q4,Financial and Insurance Services,Female,25200
2005Q1,Financial and Insurance Services,Female,25600
2005Q2,Financial and Insurance Services,Female,25400
2005Q3,Financial and Insurance Services,Female,26200
2005Q4,Financial and Insurance Services,Female,26600
2006Q1,Financial and Insurance Services,Female,27900
2006Q2,Financial and Insurance Services,Female,28400
2006Q3,Financial and Insurance Services,Female,28300
2006Q4,Financial and Insurance Services,Female,28500
2007Q1,Financial and Insurance Services,Female,28400
2007Q2,Financial and Insurance Services,Female,27500
2007Q3,Financial and Insurance Services,Female,27800
2007Q4,Financial and Insurance Services,Female,29100
2008Q1,Financial and Insurance Services,Female,28900
2008Q2,Financial and Insurance Services,Female,28400
2008Q3,Financial and Insurance Services,Female,27900
2008Q4,Financial and Insurance Services,Female,27700
2009Q1,Financial and Insurance Services,Female,27400
2009Q2,Financial and Insurance Services,Female,26100
2009Q3,Financial and Insurance Services,Female,26200
2009Q4,Financial and Insurance Services,Female,25600
2010Q1,Financial and Insurance Services,Female,25200
2010Q2,Financial and Insurance Services,Female,25000
2010Q3,Financial and Insurance Services,Female,25500
2010Q4,Financial and Insurance Services,Female,25800
2011Q1,Financial and Insurance Services,Female,26100
2011Q2,Financial and Insurance Services,Female,25900
2011Q3,Financial and Insurance Services,Female,26000
2011Q4,Financial and Insurance Services,Female,27000
2012Q1,Financial and Insurance Services,Female,26000
2012Q2,Financial and Insurance Services,Female,26000
2012Q3,Financial and Insurance Services,Female,25600
2012Q4,Financial and Insurance Services,Female,25300
2013Q1,Financial and Insurance Services,Female,26300
2013Q2,Financial and Insurance Services,Female,27300
2013Q3,Financial and Insurance Services,Female,27100
2013Q4,Financial and Insurance Services,Female,27900
2014Q1,Financial and Insurance Services,Female,28400
2014Q2,Financial and Insurance Services,Female,28300
2014Q3,Financial and Insurance Services,Female,29100
2014Q4,Financial and Insurance Services,Female,28500
2015Q1,Financial and Insurance Services,Female,30500
2015Q2,Financial and Insurance Services,Female,30300
2015Q3,Financial and Insurance Services,Female,30600
2015Q4,Financial and Insurance Services,Female,30800
2016Q1,Financial and Insurance Services,Female,29500
2016Q2,Financial and Insurance Services,Female,29400
2016Q3,Financial and Insurance Services,Female,29100
2016Q4,Financial and Insurance Services,Female,29700
2017Q1,Financial and Insurance Services,Female,28800
2017Q2,Financial and Insurance Services,Female,29300
2017Q3,Financial and Insurance Services,Female,28800
2017Q4,Financial and Insurance Services,Female,28100
2018Q1,Financial and Insurance Services,Female,28200
2018Q2,Financial and Insurance Services,Female,28200
2018Q3,Financial and Insurance Services,Female,27100
2018Q4,Financial and Insurance Services,Female,27100
1989Q1,Financial and Insurance Services,Both Sexes,49700
1989Q2,Financial and Insurance Services,Both Sexes,47500
1989Q3,Financial and Insurance Services,Both Sexes,47100
1989Q4,Financial and Insurance Services,Both Sexes,47100
1990Q1,Financial and Insurance Services,Both Sexes,48100
1990Q2,Financial and Insurance Services,Both Sexes,45600
1990Q3,Financial and Insurance Services,Both Sexes,46600
1990Q4,Financial and Insurance Services,Both Sexes,46700
1991Q1,Financial and Insurance Services,Both Sexes,46700
1991Q2,Financial and Insurance Services,Both Sexes,44400
1991Q3,Financial and Insurance Services,Both Sexes,44400
1991Q4,Financial and Insurance Services,Both Sexes,44000
1992Q1,Financial and Insurance Services,Both Sexes,45900
1992Q2,Financial and Insurance Services,Both Sexes,44700
1992Q3,Financial and Insurance Services,Both Sexes,43800
1992Q4,Financial and Insurance Services,Both Sexes,41900
1993Q1,Financial and Insurance Services,Both Sexes,42700
1993Q2,Financial and Insurance Services,Both Sexes,41900
1993Q3,Financial and Insurance Services,Both Sexes,41700
1993Q4,Financial and Insurance Services,Both Sexes,40900
1994Q1,Financial and Insurance Services,Both Sexes,41500
1994Q2,Financial and Insurance Services,Both Sexes,41300
1994Q3,Financial and Insurance Services,Both Sexes,41600
1994Q4,Financial and Insurance Services,Both Sexes,42300
1995Q1,Financial and Insurance Services,Both Sexes,42900
1995Q2,Financial and Insurance Services,Both Sexes,42600
1995Q3,Financial and Insurance Services,Both Sexes,44200
1995Q4,Financial and Insurance Services,Both Sexes,44400
1996Q1,Financial and Insurance Services,Both Sexes,43900
1996Q2,Financial and Insurance Services,Both Sexes,45900
1996Q3,Financial and Insurance Services,Both Sexes,45400
1996Q4,Financial and Insurance Services,Both Sexes,44000
1997Q1,Financial and Insurance Services,Both Sexes,42600
1997Q2,Financial and Insurance Services,Both Sexes,43800
1997Q3,Financial and Insurance Services,Both Sexes,45600
1997Q4,Financial and Insurance Services,Both Sexes,43200
1998Q1,Financial and Insurance Services,Both Sexes,42900
1998Q2,Financial and Insurance Services,Both Sexes,41400
1998Q3,Financial and Insurance Services,Both Sexes,40600
1998Q4,Financial and Insurance Services,Both Sexes,39200
1999Q1,Financial and Insurance Services,Both Sexes,38900
1999Q2,Financial and Insurance Services,Both Sexes,38100
1999Q3,Financial and Insurance Services,Both Sexes,37600
1999Q4,Financial and Insurance Services,Both Sexes,37700
2000Q1,Financial and Insurance Services,Both Sexes,39700
2000Q2,Financial and Insurance Services,Both Sexes,39300
2000Q3,Financial and Insurance Services,Both Sexes,39600
2000Q4,Financial and Insurance Services,Both Sexes,39500
2001Q1,Financial and Insurance Services,Both Sexes,38800
2001Q2,Financial and Insurance Services,Both Sexes,39600
2001Q3,Financial and Insurance Services,Both Sexes,39500
2001Q4,Financial and Insurance Services,Both Sexes,40000
2002Q1,Financial and Insurance Services,Both Sexes,39000
2002Q2,Financial and Insurance Services,Both Sexes,39600
2002Q3,Financial and Insurance Services,Both Sexes,40900
2002Q4,Financial and Insurance Services,Both Sexes,40400
2003Q1,Financial and Insurance Services,Both Sexes,40400
2003Q2,Financial and Insurance Services,Both Sexes,41300
2003Q3,Financial and Insurance Services,Both Sexes,41900
2003Q4,Financial and Insurance Services,Both Sexes,40200
2004Q1,Financial and Insurance Services,Both Sexes,41800
2004Q2,Financial and Insurance Services,Both Sexes,43500
2004Q3,Financial and Insurance Services,Both Sexes,42200
2004Q4,Financial and Insurance Services,Both Sexes,41600
2005Q1,Financial and Insurance Services,Both Sexes,42100
2005Q2,Financial and Insurance Services,Both Sexes,41900
2005Q3,Financial and Insurance Services,Both Sexes,42600
2005Q4,Financial and Insurance Services,Both Sexes,43100
2006Q1,Financial and Insurance Services,Both Sexes,46200
2006Q2,Financial and Insurance Services,Both Sexes,47000
2006Q3,Financial and Insurance Services,Both Sexes,46500
2006Q4,Financial and Insurance Services,Both Sexes,46600
2007Q1,Financial and Insurance Services,Both Sexes,46500
2007Q2,Financial and Insurance Services,Both Sexes,45100
2007Q3,Financial and Insurance Services,Both Sexes,45000
2007Q4,Financial and Insurance Services,Both Sexes,47500
2008Q1,Financial and Insurance Services,Both Sexes,46900
2008Q2,Financial and Insurance Services,Both Sexes,46200
2008Q3,Financial and Insurance Services,Both Sexes,45600
2008Q4,Financial and Insurance Services,Both Sexes,45500
2009Q1,Financial and Insurance Services,Both Sexes,45100
2009Q2,Financial and Insurance Services,Both Sexes,42800
2009Q3,Financial and Insurance Services,Both Sexes,43600
2009Q4,Financial and Insurance Services,Both Sexes,42200
2010Q1,Financial and Insurance Services,Both Sexes,42000
2010Q2,Financial and Insurance Services,Both Sexes,42000
2010Q3,Financial and Insurance Services,Both Sexes,43200
2010Q4,Financial and Insurance Services,Both Sexes,43700
2011Q1,Financial and Insurance Services,Both Sexes,44400
2011Q2,Financial and Insurance Services,Both Sexes,44000
2011Q3,Financial and Insurance Services,Both Sexes,43700
2011Q4,Financial and Insurance Services,Both Sexes,45300
2012Q1,Financial and Insurance Services,Both Sexes,44000
2012Q2,Financial and Insurance Services,Both Sexes,44400
2012Q3,Financial and Insurance Services,Both Sexes,45700
2012Q4,Financial and Insurance Services,Both Sexes,44400
2013Q1,Financial and Insurance Services,Both Sexes,44600
2013Q2,Financial and Insurance Services,Both Sexes,46300
2013Q3,Financial and Insurance Services,Both Sexes,46300
2013Q4,Financial and Insurance Services,Both Sexes,47900
2014Q1,Financial and Insurance Services,Both Sexes,48300
2014Q2,Financial and Insurance Services,Both Sexes,48500
2014Q3,Financial and Insurance Services,Both Sexes,49600
2014Q4,Financial and Insurance Services,Both Sexes,49600
2015Q1,Financial and Insurance Services,Both Sexes,52800
2015Q2,Financial and Insurance Services,Both Sexes,52600
2015Q3,Financial and Insurance Services,Both Sexes,52500
2015Q4,Financial and Insurance Services,Both Sexes,53300
2016Q1,Financial and Insurance Services,Both Sexes,51800
2016Q2,Financial and Insurance Services,Both Sexes,51900
2016Q3,Financial and Insurance Services,Both Sexes,51900
2016Q4,Financial and Insurance Services,Both Sexes,52700
2017Q1,Financial and Insurance Services,Both Sexes,52100
2017Q2,Financial and Insurance Services,Both Sexes,51500
2017Q3,Financial and Insurance Services,Both Sexes,50700
2017Q4,Financial and Insurance Services,Both Sexes,49500
2018Q1,Financial and Insurance Services,Both Sexes,50700
2018Q2,Financial and Insurance Services,Both Sexes,51200
2018Q3,Financial and Insurance Services,Both Sexes,49000
2018Q4,Financial and Insurance Services,Both Sexes,48900
1989Q1,"Rental, Hiring and Real Estate Services",Male,3900
1989Q2,"Rental, Hiring and Real Estate Services",Male,4000
1989Q3,"Rental, Hiring and Real Estate Services",Male,4000
1989Q4,"Rental, Hiring and Real Estate Services",Male,3800
1990Q1,"Rental, Hiring and Real Estate Services",Male,3900
1990Q2,"Rental, Hiring and Real Estate Services",Male,3700
1990Q3,"Rental, Hiring and Real Estate Services",Male,3900
1990Q4,"Rental, Hiring and Real Estate Services",Male,3900
1991Q1,"Rental, Hiring and Real Estate Services",Male,4000
1991Q2,"Rental, Hiring and Real Estate Services",Male,4000
1991Q3,"Rental, Hiring and Real Estate Services",Male,3900
1991Q4,"Rental, Hiring and Real Estate Services",Male,3900
1992Q1,"Rental, Hiring and Real Estate Services",Male,4100
1992Q2,"Rental, Hiring and Real Estate Services",Male,4000
1992Q3,"Rental, Hiring and Real Estate Services",Male,4000
1992Q4,"Rental, Hiring and Real Estate Services",Male,4000
1993Q1,"Rental, Hiring and Real Estate Services",Male,3900
1993Q2,"Rental, Hiring and Real Estate Services",Male,3900
1993Q3,"Rental, Hiring and Real Estate Services",Male,3900
1993Q4,"Rental, Hiring and Real Estate Services",Male,3900
1994Q1,"Rental, Hiring and Real Estate Services",Male,4300
1994Q2,"Rental, Hiring and Real Estate Services",Male,4200
1994Q3,"Rental, Hiring and Real Estate Services",Male,4300
1994Q4,"Rental, Hiring and Real Estate Services",Male,4500
1995Q1,"Rental, Hiring and Real Estate Services",Male,4800
1995Q2,"Rental, Hiring and Real Estate Services",Male,4600
1995Q3,"Rental, Hiring and Real Estate Services",Male,4900
1995Q4,"Rental, Hiring and Real Estate Services",Male,5000
1996Q1,"Rental, Hiring and Real Estate Services",Male,5000
1996Q2,"Rental, Hiring and Real Estate Services",Male,5000
1996Q3,"Rental, Hiring and Real Estate Services",Male,5200
1996Q4,"Rental, Hiring and Real Estate Services",Male,5300
1997Q1,"Rental, Hiring and Real Estate Services",Male,5200
1997Q2,"Rental, Hiring and Real Estate Services",Male,5500
1997Q3,"Rental, Hiring and Real Estate Services",Male,5700
1997Q4,"Rental, Hiring and Real Estate Services",Male,5800
1998Q1,"Rental, Hiring and Real Estate Services",Male,5700
1998Q2,"Rental, Hiring and Real Estate Services",Male,6000
1998Q3,"Rental, Hiring and Real Estate Services",Male,5900
1998Q4,"Rental, Hiring and Real Estate Services",Male,6000
1999Q1,"Rental, Hiring and Real Estate Services",Male,6200
1999Q2,"Rental, Hiring and Real Estate Services",Male,6200
1999Q3,"Rental, Hiring and Real Estate Services",Male,6300
1999Q4,"Rental, Hiring and Real Estate Services",Male,6200
2000Q1,"Rental, Hiring and Real Estate Services",Male,6300
2000Q2,"Rental, Hiring and Real Estate Services",Male,6300
2000Q3,"Rental, Hiring and Real Estate Services",Male,6500
2000Q4,"Rental, Hiring and Real Estate Services",Male,6800
2001Q1,"Rental, Hiring and Real Estate Services",Male,6900
2001Q2,"Rental, Hiring and Real Estate Services",Male,6700
2001Q3,"Rental, Hiring and Real Estate Services",Male,6600
2001Q4,"Rental, Hiring and Real Estate Services",Male,6800
2002Q1,"Rental, Hiring and Real Estate Services",Male,7100
2002Q2,"Rental, Hiring and Real Estate Services",Male,7300
2002Q3,"Rental, Hiring and Real Estate Services",Male,7000
2002Q4,"Rental, Hiring and Real Estate Services",Male,7300
2003Q1,"Rental, Hiring and Real Estate Services",Male,7400
2003Q2,"Rental, Hiring and Real Estate Services",Male,7500
2003Q3,"Rental, Hiring and Real Estate Services",Male,7200
2003Q4,"Rental, Hiring and Real Estate Services",Male,7200
2004Q1,"Rental, Hiring and Real Estate Services",Male,7800
2004Q2,"Rental, Hiring and Real Estate Services",Male,7000
2004Q3,"Rental, Hiring and Real Estate Services",Male,7100
2004Q4,"Rental, Hiring and Real Estate Services",Male,7500
2005Q1,"Rental, Hiring and Real Estate Services",Male,7800
2005Q2,"Rental, Hiring and Real Estate Services",Male,7800
2005Q3,"Rental, Hiring and Real Estate Services",Male,7800
2005Q4,"Rental, Hiring and Real Estate Services",Male,7400
2006Q1,"Rental, Hiring and Real Estate Services",Male,7700
2006Q2,"Rental, Hiring and Real Estate Services",Male,7800
2006Q3,"Rental, Hiring and Real Estate Services",Male,7700
2006Q4,"Rental, Hiring and Real Estate Services",Male,8000
2007Q1,"Rental, Hiring and Real Estate Services",Male,7900
2007Q2,"Rental, Hiring and Real Estate Services",Male,7800
2007Q3,"Rental, Hiring and Real Estate Services",Male,7800
2007Q4,"Rental, Hiring and Real Estate Services",Male,8000
2008Q1,"Rental, Hiring and Real Estate Services",Male,8100
2008Q2,"Rental, Hiring and Real Estate Services",Male,7700
2008Q3,"Rental, Hiring and Real Estate Services",Male,7900
2008Q4,"Rental, Hiring and Real Estate Services",Male,8200
2009Q1,"Rental, Hiring and Real Estate Services",Male,8000
2009Q2,"Rental, Hiring and Real Estate Services",Male,8000
2009Q3,"Rental, Hiring and Real Estate Services",Male,7300
2009Q4,"Rental, Hiring and Real Estate Services",Male,8100
2010Q1,"Rental, Hiring and Real Estate Services",Male,8800
2010Q2,"Rental, Hiring and Real Estate Services",Male,9500
2010Q3,"Rental, Hiring and Real Estate Services",Male,9000
2010Q4,"Rental, Hiring and Real Estate Services",Male,9500
2011Q1,"Rental, Hiring and Real Estate Services",Male,9600
2011Q2,"Rental, Hiring and Real Estate Services",Male,9200
2011Q3,"Rental, Hiring and Real Estate Services",Male,9500
2011Q4,"Rental, Hiring and Real Estate Services",Male,10800
2012Q1,"Rental, Hiring and Real Estate Services",Male,10600
2012Q2,"Rental, Hiring and Real Estate Services",Male,9400
2012Q3,"Rental, Hiring and Real Estate Services",Male,9900
2012Q4,"Rental, Hiring and Real Estate Services",Male,10000
2013Q1,"Rental, Hiring and Real Estate Services",Male,9800
2013Q2,"Rental, Hiring and Real Estate Services",Male,9600
2013Q3,"Rental, Hiring and Real Estate Services",Male,10100
2013Q4,"Rental, Hiring and Real Estate Services",Male,10600
2014Q1,"Rental, Hiring and Real Estate Services",Male,10800
2014Q2,"Rental, Hiring and Real Estate Services",Male,10900
2014Q3,"Rental, Hiring and Real Estate Services",Male,10800
2014Q4,"Rental, Hiring and Real Estate Services",Male,11000
2015Q1,"Rental, Hiring and Real Estate Services",Male,11700
2015Q2,"Rental, Hiring and Real Estate Services",Male,11800
2015Q3,"Rental, Hiring and Real Estate Services",Male,11600
2015Q4,"Rental, Hiring and Real Estate Services",Male,11900
2016Q1,"Rental, Hiring and Real Estate Services",Male,12100
2016Q2,"Rental, Hiring and Real Estate Services",Male,11600
2016Q3,"Rental, Hiring and Real Estate Services",Male,11800
2016Q4,"Rental, Hiring and Real Estate Services",Male,12200
2017Q1,"Rental, Hiring and Real Estate Services",Male,12000
2017Q2,"Rental, Hiring and Real Estate Services",Male,11700
2017Q3,"Rental, Hiring and Real Estate Services",Male,10800
2017Q4,"Rental, Hiring and Real Estate Services",Male,11200
2018Q1,"Rental, Hiring and Real Estate Services",Male,11700
