YearQuarter,Industry,Gender,Number of Working Proprietors,Number of Part-Time Paid Employees,Number of Full-Time Paid Employees,Total Number of People in Employment
2013Q3,"Rental, Hiring and Real Estate Services",Female,2100,4400,11300,17700
2013Q4,"Rental, Hiring and Real Estate Services",Female,2300,4900,11400,18500
2014Q1,"Rental, Hiring and Real Estate Services",Female,1900,4100,11000,16900
2014Q2,"Rental, Hiring and Real Estate Services",Female,2200,4000,10400,16600
2014Q3,"Rental, Hiring and Real Estate Services",Female,1500,4400,9600,15600
2014Q4,"Rental, Hiring and Real Estate Services",Female,1300,4500,9900,15700
2015Q1,"Rental, Hiring and Real Estate Services",Female,1300,4400,10300,15900
2015Q2,"Rental, Hiring and Real Estate Services",Female,1500,4500,9800,15800
2015Q3,"Rental, Hiring and Real Estate Services",Female,1600,4600,10600,16800
2015Q4,"Rental, Hiring and Real Estate Services",Female,1800,4600,10900,17300
2016Q1,"Rental, Hiring and Real Estate Services",Female,2100,4800,10500,17400
2016Q2,"Rental, Hiring and Real Estate Services",Female,1800,4800,10100,16700
2016Q3,"Rental, Hiring and Real Estate Services",Female,1700,3900,10700,16300
2016Q4,"Rental, Hiring and Real Estate Services",Female,2000,4700,11100,17800
2017Q1,"Rental, Hiring and Real Estate Services",Female,1700,4200,11000,17000
2017Q2,"Rental, Hiring and Real Estate Services",Female,1700,4700,10800,17200
2017Q3,"Rental, Hiring and Real Estate Services",Female,2200,3500,9500,15100
2017Q4,"Rental, Hiring and Real Estate Services",Female,1900,3500,9500,14900
2018Q1,"Rental, Hiring and Real Estate Services",Female,2100,4400,9300,15800
2018Q2,"Rental, Hiring and Real Estate Services",Female,2000,4200,8900,15100
2018Q3,"Rental, Hiring and Real Estate Services",Female,2100,5300,9600,17000
2018Q4,"Rental, Hiring and Real Estate Services",Female,2200,5400,9400,17000
1989Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3500,2700,8300,14500
1989Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3300,3100,8200,14700
1989Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3200,3300,8200,14700
1989Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3100,3200,7900,14200
1990Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3000,3100,8000,14100
1990Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3000,3200,7600,13800
1990Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3000,3300,8000,14400
1990Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3100,3400,7900,14300
1991Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3100,3500,8200,14800
1991Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3100,3600,8000,14700
1991Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3100,3600,7600,14300
1991Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3200,3600,7500,14300
1992Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3200,3600,8000,14800
1992Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3200,3800,7900,14900
1992Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3200,4000,7700,14900
1992Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3200,4000,7800,15000
1993Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3200,3600,7800,14600
1993Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3300,4100,7700,15100
1993Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3500,4300,7600,15300
1993Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3600,4400,7600,15600
1994Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3700,4000,8500,16200
1994Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3700,4500,8400,16600
1994Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3700,4600,8300,16600
1994Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3700,4900,8500,17100
1995Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3700,4400,9300,17400
1995Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3800,4800,8600,17300
1995Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3900,5300,9100,18300
1995Q4,"Rental, Hiring and Real Estate Services",Both Sexes,4000,5600,9100,18700
1996Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4100,4700,9600,18400
1996Q2,"Rental, Hiring and Real Estate Services",Both Sexes,4100,5400,9400,18900
1996Q3,"Rental, Hiring and Real Estate Services",Both Sexes,4100,5500,9800,19400
1996Q4,"Rental, Hiring and Real Estate Services",Both Sexes,4100,5500,9900,19400
1997Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4000,4700,10100,18900
1997Q2,"Rental, Hiring and Real Estate Services",Both Sexes,4100,5400,10200,19700
1997Q3,"Rental, Hiring and Real Estate Services",Both Sexes,4100,5500,10800,20400
1997Q4,"Rental, Hiring and Real Estate Services",Both Sexes,4100,5700,10900,20700
1998Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4100,5300,11100,20400
1998Q2,"Rental, Hiring and Real Estate Services",Both Sexes,4200,5800,11300,21300
1998Q3,"Rental, Hiring and Real Estate Services",Both Sexes,4200,5500,11400,21000
1998Q4,"Rental, Hiring and Real Estate Services",Both Sexes,4300,5800,11700,21700
1999Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4300,5600,11700,21600
1999Q2,"Rental, Hiring and Real Estate Services",Both Sexes,4100,6000,11700,21800
1999Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3900,5900,12000,21800
1999Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3600,5900,12100,21700
2000Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3600,6300,12300,22200
2000Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3400,6800,12300,22500
2000Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3600,6700,12800,23100
2000Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3200,7400,12700,23300
2001Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3200,7700,12800,23700
2001Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3300,6900,12900,23000
2001Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3300,6900,12800,23000
2001Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3500,7000,13200,23700
2002Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3400,6900,13600,23900
2002Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3400,6800,13700,24000
2002Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3300,6900,13800,24000
2002Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3500,7000,14100,24700
2003Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3800,6700,14200,24700
2003Q2,"Rental, Hiring and Real Estate Services",Both Sexes,3800,7000,14100,24900
2003Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3700,7700,13800,25200
2003Q4,"Rental, Hiring and Real Estate Services",Both Sexes,3600,7800,13900,25200
2004Q1,"Rental, Hiring and Real Estate Services",Both Sexes,3900,7000,14800,25700
2004Q2,"Rental, Hiring and Real Estate Services",Both Sexes,4000,7200,14400,25700
2004Q3,"Rental, Hiring and Real Estate Services",Both Sexes,4500,8000,13900,26400
2004Q4,"Rental, Hiring and Real Estate Services",Both Sexes,4700,8400,14200,27300
2005Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4600,8300,14400,27300
2005Q2,"Rental, Hiring and Real Estate Services",Both Sexes,4800,8100,14300,27200
2005Q3,"Rental, Hiring and Real Estate Services",Both Sexes,3900,8300,14200,26500
2005Q4,"Rental, Hiring and Real Estate Services",Both Sexes,4200,8300,13800,26200
2006Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4200,7700,14100,26100
2006Q2,"Rental, Hiring and Real Estate Services",Both Sexes,4600,7600,14300,26500
2006Q3,"Rental, Hiring and Real Estate Services",Both Sexes,4700,7700,14300,26800
2006Q4,"Rental, Hiring and Real Estate Services",Both Sexes,4500,8000,14800,27300
2007Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4500,7800,14400,26700
2007Q2,"Rental, Hiring and Real Estate Services",Both Sexes,4700,8000,14500,27100
2007Q3,"Rental, Hiring and Real Estate Services",Both Sexes,4900,8200,14500,27500
2007Q4,"Rental, Hiring and Real Estate Services",Both Sexes,5600,8200,14900,28700
2008Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4900,7500,14900,27300
2008Q2,"Rental, Hiring and Real Estate Services",Both Sexes,5000,7700,13900,26600
2008Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5200,7300,14100,26600
2008Q4,"Rental, Hiring and Real Estate Services",Both Sexes,5500,7100,14500,27100
2009Q1,"Rental, Hiring and Real Estate Services",Both Sexes,5600,7000,14300,26800
2009Q2,"Rental, Hiring and Real Estate Services",Both Sexes,6000,7100,14000,27100
2009Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5300,7900,13700,26900
2009Q4,"Rental, Hiring and Real Estate Services",Both Sexes,5300,9300,14200,28800
2010Q1,"Rental, Hiring and Real Estate Services",Both Sexes,5900,7700,16800,30400
2010Q2,"Rental, Hiring and Real Estate Services",Both Sexes,5000,7700,16400,29200
2010Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5000,6800,16000,27800
2010Q4,"Rental, Hiring and Real Estate Services",Both Sexes,5100,8200,16500,29800
2011Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4700,6400,17000,28000
2011Q2,"Rental, Hiring and Real Estate Services",Both Sexes,5300,6700,15900,27900
2011Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5200,6300,17400,28900
2011Q4,"Rental, Hiring and Real Estate Services",Both Sexes,4600,6400,19600,30500
2012Q1,"Rental, Hiring and Real Estate Services",Both Sexes,5500,6600,19100,31300
2012Q2,"Rental, Hiring and Real Estate Services",Both Sexes,5400,5800,19400,30600
2012Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5500,5900,19300,30700
2012Q4,"Rental, Hiring and Real Estate Services",Both Sexes,5300,6000,19000,30300
2013Q1,"Rental, Hiring and Real Estate Services",Both Sexes,5600,6100,19400,31000
2013Q2,"Rental, Hiring and Real Estate Services",Both Sexes,5400,5600,20100,31100
2013Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5500,5200,21000,31700
2013Q4,"Rental, Hiring and Real Estate Services",Both Sexes,5900,5700,21500,33100
2014Q1,"Rental, Hiring and Real Estate Services",Both Sexes,5600,5000,21300,31900
2014Q2,"Rental, Hiring and Real Estate Services",Both Sexes,6000,5800,20400,32300
2014Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5300,6400,19500,31200
2014Q4,"Rental, Hiring and Real Estate Services",Both Sexes,5100,5600,20400,31000
2015Q1,"Rental, Hiring and Real Estate Services",Both Sexes,4900,6600,20900,32400
2015Q2,"Rental, Hiring and Real Estate Services",Both Sexes,5200,5600,21100,31900
2015Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5300,6100,21500,32900
2015Q4,"Rental, Hiring and Real Estate Services",Both Sexes,5800,6100,22000,33900
2016Q1,"Rental, Hiring and Real Estate Services",Both Sexes,6200,6600,21700,34500
2016Q2,"Rental, Hiring and Real Estate Services",Both Sexes,5400,6000,21000,32400
2016Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5400,5100,21900,32400
2016Q4,"Rental, Hiring and Real Estate Services",Both Sexes,6100,6800,22200,35100
2017Q1,"Rental, Hiring and Real Estate Services",Both Sexes,5900,5800,22200,33900
2017Q2,"Rental, Hiring and Real Estate Services",Both Sexes,6200,6200,21700,34100
2017Q3,"Rental, Hiring and Real Estate Services",Both Sexes,7100,4800,19600,31500
2017Q4,"Rental, Hiring and Real Estate Services",Both Sexes,6900,4600,20200,31700
2018Q1,"Rental, Hiring and Real Estate Services",Both Sexes,6800,5900,20300,33000
2018Q2,"Rental, Hiring and Real Estate Services",Both Sexes,6600,5700,19300,31500
2018Q3,"Rental, Hiring and Real Estate Services",Both Sexes,5500,7300,19300,32100
2018Q4,"Rental, Hiring and Real Estate Services",Both Sexes,6300,6600,19100,32000
1989Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,11500,4700,30300,46500
1989Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,11100,5600,30200,46800
1989Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,10700,5700,30000,46400
1989Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,10300,5700,28600,44600
1990Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,9800,6000,29200,45100
1990Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,9800,6200,27600,43700
1990Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,9900,6400,28800,45000
1990Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,9900,6400,28700,45000
1991Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,9900,7100,29500,46500
1991Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,10000,7300,29400,46800
1991Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,10100,7700,28100,45800
1991Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,10100,7600,28000,45800
1992Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,10200,7600,29600,47400
1992Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,10200,7800,28900,46900
1992Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,10200,8200,28300,46700
1992Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,10200,8300,28700,47200
1993Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,10300,7600,28400,46300
1993Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,10600,8100,27900,46500
1993Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,10900,8100,27800,46800
1993Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,11300,8400,27800,47600
1994Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,11600,8300,31000,51000
1994Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,11600,8400,29900,49900
1994Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,11600,9300,30100,51000
1994Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,11500,10400,31200,53100
1995Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,11500,9800,33700,55000
1995Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,11800,10100,31800,53600
1995Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,12000,11500,33600,57100
1995Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,12300,12200,33800,58400
1996Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,12500,10400,34700,57600
1996Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,12500,11600,34600,58700
1996Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,12400,11700,35900,60000
1996Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,12300,12200,36600,61200
1997Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,12300,10800,36500,59600
1997Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,12300,11800,37800,61900
1997Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,12400,12100,39700,64200
1997Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,12400,13100,40000,65500
1998Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,12500,11600,39600,63600
1998Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,12600,13300,40900,66800
1998Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,12700,12500,40700,65900
1998Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,12800,13400,41000,67300
1999Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,13000,13600,42400,68900
1999Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,12400,14300,42100,68800
1999Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,11600,14200,42800,68600
1999Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,11100,13800,42600,67500
2000Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,11100,14800,42800,68700
2000Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,10400,15600,42100,68100
2000Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,10900,15100,43700,69700
2000Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,10400,18600,44200,73300
2001Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,10300,18500,45300,74200
2001Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,10500,16500,45200,72100
2001Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,10400,16600,44200,71300
2001Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,10800,17000,45400,73200
2002Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,10600,16600,48000,75200
2002Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,10500,14500,50100,75100
2002Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,10300,14300,48600,73100
2002Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,10700,14200,50300,75200
2003Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,11200,14000,51600,76800
2003Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,11800,16500,50700,79000
2003Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,11400,14900,50400,76800
2003Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,11000,15500,50100,76500
2004Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,11500,14200,56200,81800
2004Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,11300,14200,50500,76100
2004Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,13100,15200,51500,79900
2004Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,13100,16700,54600,84500
2005Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,12800,17000,57000,86800
2005Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,12900,16400,58100,87300
2005Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,11400,16600,58700,86700
2005Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,11400,16900,56200,84500
2006Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,11800,16000,60100,87800
2006Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,12100,16700,61400,90200
2006Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,12800,16700,60800,90400
2006Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,12500,17600,64200,94300
2007Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,11900,17900,63900,93600
2007Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,12300,17500,63600,93400
2007Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,12800,18300,64200,95200
2007Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,13900,18400,66600,98900
2008Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,13100,18300,68500,99800
2008Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,12700,18100,66000,96800
2008Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,13600,16600,69700,100000
2008Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,14300,16600,74000,104900
2009Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,13900,17000,72200,103100
2009Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,15300,16900,72700,104900
2009Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,14300,17500,73300,105100
2009Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,14400,20200,75200,109800
2010Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,14300,19300,73500,107100
2010Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,14300,19600,75100,109000
2010Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,14400,20700,73900,109000
2010Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,14200,20900,71500,106500
2011Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,13700,22800,73900,110300
2011Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,13100,22000,77800,113000
2011Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,14300,22700,77200,114300
2011Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,14900,22900,79800,117600
2012Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,14300,21900,82800,119100
2012Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,13300,20700,83600,117600
2012Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,14800,18100,81200,114200
2012Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,14900,18600,81500,115000
2013Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,14900,22400,86500,123800
2013Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,15000,22900,88300,126200
2013Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,15100,21000,86000,122000
2013Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,14800,21400,87000,123200
2014Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,14500,23600,88300,126400
2014Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,14400,24900,97300,136600
2014Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,15800,24100,89700,129500
2014Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,14400,21700,92300,128400
2015Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,15000,23500,95800,134300
2015Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,14400,23800,98700,136900
2015Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,14500,23700,94400,132500
2015Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,14700,22100,94700,131500
2016Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,13800,28600,100400,142700
2016Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,13900,29200,98400,141600
2016Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,14100,28000,100700,142800
2016Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,15200,21800,106800,143800
2017Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,15400,24800,109400,149600
2017Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,15500,29200,108100,152800
2017Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,15000,23900,107800,146700
2017Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,16400,23900,111100,151500
2018Q1,"Professional, Scientific, Technical, Administrative and Support Services",Male,15500,24700,114200,154500
2018Q2,"Professional, Scientific, Technical, Administrative and Support Services",Male,15200,28500,116100,159700
2018Q3,"Professional, Scientific, Technical, Administrative and Support Services",Male,15300,25500,108500,149400
2018Q4,"Professional, Scientific, Technical, Administrative and Support Services",Male,15900,22800,108200,146900
1989Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,2500,15000,30500,47900
1989Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,2500,16700,30100,49200
1989Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,2500,18000,29900,50400
1989Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,2600,17500,29100,49200
1990Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,2600,16700,28900,48300
1990Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,2700,17100,27900,47700
1990Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,2700,17600,29800,50100
1990Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,2800,17800,28800,49300
1991Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,2800,18300,30000,51100
1991Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,2900,18800,29000,50700
1991Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,2900,18500,27400,48900
1991Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,3000,18100,27200,48400
1992Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,3000,18000,28800,49800
1992Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,3100,19900,28400,51400
1992Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,3100,20300,27700,51100
1992Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,3100,20500,27700,51300
1993Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,3200,18700,28000,49900
1993Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,3400,21700,27700,52800
1993Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,3600,22700,27300,53500
1993Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,3700,23000,27400,54200
1994Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,3900,20500,30200,54600
1994Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,4000,23700,30300,57900
1994Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,4000,23800,29700,57500
1994Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,4000,25000,29900,58900
1995Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,4100,21700,32800,58600
1995Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,4200,24700,30200,59000
1995Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,4400,26500,31600,62500
1995Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,4500,27700,31500,63800
1996Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,4600,23100,34000,61800
1996Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,4600,27300,32700,64600
1996Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,4600,27700,34300,66600
1996Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,4500,27100,34200,65800
1997Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,4500,23000,35600,63000
1997Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,4500,27100,35300,66900
1997Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,4600,27300,37200,69100
1997Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,4600,28000,37200,69800
1998Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,4600,26200,38500,69300
1998Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,4700,28600,39100,72400
1998Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,4800,26700,39400,70900
1998Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,4800,28400,40500,73700
1999Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,4900,26700,40000,71600
1999Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,4800,28700,40100,73600
1999Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,4700,27900,41400,73900
1999Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,4100,28900,42100,75100
2000Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,4000,30500,42800,77400
2000Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,3800,33400,43400,80500
2000Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,4100,33000,45200,82200
2000Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,3300,34500,44200,82000
2001Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,3400,36500,44000,83900
2001Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,3300,33000,44700,81100
2001Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,3400,32900,45000,81300
2001Q4,"Professional, Scientific, Technical, Administrative and Support Services",Female,3700,33800,46100,83600
2002Q1,"Professional, Scientific, Technical, Administrative and Support Services",Female,3700,33000,46700,83400
2002Q2,"Professional, Scientific, Technical, Administrative and Support Services",Female,3800,34500,46000,84400
2002Q3,"Professional, Scientific, Technical, Administrative and Support Services",Female,3300,35600,47500,86400
